Title,Contents
anaconda 오프라인 환경 설치,"# ---- 아나콘다 가상환경 구축(인터넷 가능 환경에서)
# 가상환경 py3.7 만들고 패키지 설치
# (base) 는 Anaconda prompt 환경
(base) conda create --name py3.7 python=3.7
(base) conda install --name py3.7 pymssql
# conda install --name py3.7 cx_Oracle
(base) conda install --name py3.7 numpy
(base) conda install --name py3.7 pandas
(base) conda install --name py3.7 matplotlib
(base) conda install --name py3.7 openpyxl
(base) conda install --name py3.7 jupyter
#conda install --name py3.7 fastapi
(base) conda install --name py3.7 scikit-learn
#conda install --name py3.7 uvicorn
#아래 pip install 을 가상환경에서 된다고 하는 말이 있으나 잘 안됨.ㅡㅡ
#가상환경안에서 pip install fastapi
#가상환경안에서 pip install matplotlib
#가상환경안에서 pip install seaborn
# ---- 아나콘다 가상환경을 오프라인으로 옮기기
# ---- - 단, 같은 windows 환경에서 테스트해본 결과 잘됨
# ---- - 아나콘다 설치 경로 ""C:\Users\{사용자명}\.conda""
# OFFLINE PC에 설치해야 이동/설치해야 될 파일
- Python설치 파일 : python-3.7.9-amd64.exe
- Miniconda 설치파일 : Miniconda3-py37_4.12.0-Windows-x86_64.exe
- C:\Users\{사용자명}\.conda\envs\{가상환경명} 통째로
C:\Users\{사용자명}\.conda\envs\{가상환경명}\share\jupyter\kernels\python3\kernel.json 파일 내용에서 python.exe 경로 수정
- ""C:/Users/{사용자명}/.conda/envs/{가상환경명}\\python.exe""
# 가상환경 활성화
(base) conda activate py3.7
# jupyter notebook 실행
(py3.7) jupyter notebook
# 가상환경 비활성화
(py3.7) conda deactivate py3.7"
Angular 12 템플릿 정보,"Angular 12 템플릿 정보 입니다.
소스 파일 : [angular12_template.zip](https://softzion-my.sharepoint.com/:u:/p/lkh8342/EcEe53jFdXRHqPjMd6nief0B3T4kY_2DZB6wBN7DlwSTTA)
템플릿 사이트 [https://pixinvent.com/demo/vuexy-vuejs-admin-dashboard-template/demo-2/dashboard/ecommerce](https://pixinvent.com/demo/vuexy-vuejs-admin-dashboard-template/demo-2/dashboard/ecommerce)
Doc [https://pixinvent.com/demo/vuexy-vuejs-admin-dashboard-template/documentation/](https://pixinvent.com/demo/vuexy-vuejs-admin-dashboard-template/documentation/)"
Angular Debugging Guide,"Angular Debugging Guide
Angular 애플리케이션 디버깅: 이 문서에서는 RxJs 연산자, ng.probe, Angular 프로파일러, Augury, Redux 개발자 도구, json 파이프, Chrome 개발자 도구 등 Angular 애플리케이션 디버깅을 위한 다양한 도구와 기법을 제공합니다.
디버깅 팁과 요령: 이 문서에서는 콘솔 객체 사용, 디버거 문, 조건부 중단점, 네트워크 및 CPU 스로틀링, 로컬 저장소 검사 등과 같은 디버깅을 위한 몇 가지 팁과 요령도 제공합니다.
디버깅의 이점: 이 문서는 모든 애플리케이션을 빌드하고 버그를 제거하기 위한 디버깅의 중요성을 강조합니다1. 디버깅은 소프트웨어 제공 프로세스의 속도를 높이고 애플리케이션의 성능을 향상시킬 수 있습니다.
원문
[https://medium.com/@vamsivempati/a-guide-to-debugging-angular-applications-5a36bd88b4cf](https://medium.com/@vamsivempati/a-guide-to-debugging-angular-applications-5a36bd88b4cf)
번역
[https://softzion.sharepoint.com/:b:/s/msteams_d48474/EXkqTh_IFAtHlHNyWolc0hIBYtC24tiwKkXAJJe45Q_Q7Q?e=1OitwX](https://softzion.sharepoint.com/:b:/s/msteams_d48474/EXkqTh_IFAtHlHNyWolc0hIBYtC24tiwKkXAJJe45Q_Q7Q?e=1OitwX)"
Angular DeepCopy 관련 정보,"```objectivec
deepcopy 를 위한 spread copy
앵귤러 에서 오브젝트 딥카피를 위해서
const schoolDefaultData = {
SEQ: '',
MS_BACH: '',
MS_NAME: '',
MS_STUDY: '',
uploadFileList: [],
};
this.school.push({...schoolDefaultData});
위와 같이 진행을 하는 경우
uploadFileList 와 같이 string타입이 아닌 타입의 경우
딥카피가 안되고 shallow copy 참조복사가 되는 현상이 발생됩니다.
참조복사가 되는것을 방지하기 위해
const schoolDefaultData = {
SEQ: '',
MS_BACH: '',
MS_NAME: '',
MS_STUDY: ''
};
this.school.push({...schoolDefaultData, ...{uploadFileList: []}});
와 같이 spread copy를 진행하면 참조복사가 되지 않습니다.
```"
Angular 개발 환경 구축 방법,"### Backend 설정
[https://gitlab.com/szrndwas/simddle-was/-/blob/main/README.md](https://gitlab.com/szrndwas/simddle-was/-/blob/main/README.md)
### Frontend 설정
[https://gitlab.com/szrndweb/simddle-web/-/blob/main/README.md](https://gitlab.com/szrndweb/simddle-web/-/blob/main/README.md)
### 동영상 가이드
[https://softzion.sharepoint.com/:u:/s/msteams_d48474/EXNOMYnGyldEqMwfinBwbOsBKLezHjcGNZ5zfnIqr_PZCg?e=rVCrv6](https://softzion.sharepoint.com/:u:/s/msteams_d48474/EXNOMYnGyldEqMwfinBwbOsBKLezHjcGNZ5zfnIqr_PZCg?e=rVCrv6)
[https://softzion.sharepoint.com/:u:/s/msteams_d48474/EbkouaZwM7JKlVPn0N83TKcBJ2CvS4Osde3rhphonxsLCQ?e=CX3cRm](https://softzion.sharepoint.com/:u:/s/msteams_d48474/EbkouaZwM7JKlVPn0N83TKcBJ2CvS4Osde3rhphonxsLCQ?e=CX3cRm)"
"angular 웹 소스를 apache 서버에 배포할 때, 하위 url 로 이동 후 refresh 문제","```perl
1. .htaccess 설정추가 :
<IfModule mod_rewrite.c>
RewriteEngine On
RewriteBase /
RewriteRule ^index\.html$ - [L]
RewriteCond %{REQUEST_FILENAME} !-f
RewriteCond %{REQUEST_FILENAME} !-d
RewriteRule . /index.html [L]
</IfModule>
2. httpd.conf 에 mod_rewrite 사용 :
<IfModule mod_rewrite.c>
RewriteEngine On
RewriteBase /
RewriteRule ^index\.html$ - [L]
RewriteCond %{REQUEST_FILENAME} !-f
RewriteCond %{REQUEST_FILENAME} !-d
RewriteRule . /index.html [L]
</IfModule>
3. httpd.conf 에 FallbackResource 설정 : Apache 2.2 이상에서 사용 가능
<Directory ""document 경로"">
FallbackResource /index.html
</Directory>
```"
AXURE 사용법 알려주세요,"Axure를 잘 사용하기 위한 Tutorial이나 자료는 어떻게 찾나요?
---
```
목차
별(*) 표시 : 중요 학습 항목
별(*) 갯수 : 학습난이도
```
시작하기 전에
[Axure RP 9,10 - 제품 관리자(PO, PM, 기획자)를 위한 최적의 프로토타이핑 툴](https://www.inflearn.com/course/axure-%ED%94%84%EB%A1%9C%ED%86%A0%ED%83%80%EC%9D%B4%ED%95%91/lecture/61815?tab=curriculum&volume=1.00)"
Backend 개발 가이드-BE 개발 가이드 문서 (Gitlab),"[https://gitlab.com/softzionrnd/prm-salevis-was/-/blob/master/BackEnd_DevelopmentGuide.pptx](https://gitlab.com/softzionrnd/prm-salevis-was/-/blob/master/BackEnd_DevelopmentGuide.pptx)
개발 가이드 문서 (Gitlab) 입니다."
Backend 개발 가이드-log4j2 전체 쿼리 Log 설정,"1. pom.xml 에 org.bgee.log4jdbc-log4j2 추가
```xml
<dependency>
<groupId>org.bgee.log4jdbc-log4j2</groupId>
<artifactId>log4jdbc-log4j2-jdbc4.1</artifactId>
<version>1.16</version>
</dependency>
```
1. src/resources 폴더에 log4jdbc.log4j2.properties 파일 추가
```
log4jdbc.spylogdelegator.name=net.sf.log4jdbc.log.slf4j.Slf4jSpyLogDelegator
log4jdbc.dump.sql.maxlinelength=0
```
1. src/resources 폴더에 log4j2.xml 파일 수정
```xml
<?xml version=""1.0"" encoding=""UTF-8""?>
<Configuration>
<Appenders>
<!-- Console 출력을 위한 Appender -->
<Console name=""console"" target=""SYSTEM_OUT"">
<PatternLayout pattern=""%d %5p [%c] %m%n"" />
</Console>
<!-- 로그파일 생성을 위한 Appender -->
<!-- <RollingFile name=""dailyRollingFileAppender"" fileName=""d:/tdms_logs/tdms.log"" filePattern=""d:/tdms_logs/tdms_%d{yyyy-MM-dd}.log"" append=""true"">
<PatternLayout pattern=""%d %5p [%c] %m%n"" />
<Policies>
<TimeBasedTriggeringPolicy interval=""1"" modulate=""true""/>
</Policies>
</RollingFile>-->
</Appenders>
<Loggers>
<Logger name=""java.sql"" level=""INFO"" additivity=""false"">
<AppenderRef ref=""console"" />
</Logger>
<Logger name=""egovframework"" level=""DEBUG"" additivity=""false"">
<AppenderRef ref=""console"" />
</Logger>
<!-- log SQL with timing information, post execution -->
<Logger name=""jdbc.sqltiming"" level=""INFO"" additivity=""false"">
<AppenderRef ref=""console"" />
</Logger>
<Logger name=""EmpMapper"" level=""debug"" additivity=""false"">
<AppenderRef ref=""console"" />
</Logger>
<Logger name=""org.springframework"" level=""INFO"" additivity=""false"">
<AppenderRef ref=""console"" />
</Logger>
<Logger name=""org.apache.http.client"" level=""error"" additivity=""false"">
<AppenderRef ref=""console"" />
</Logger>
<Logger name=""org.apache.http.wire"" level=""error"" additivity=""false"">
<AppenderRef ref=""console"" />
</Logger>
<Logger name=""jdbc.audit"" level=""OFF"" additivity=""false"">
<AppenderRef ref=""console"" />
</Logger>
<Logger name=""jdbc.resultset"" level=""OFF"" additivity=""false"">
<AppenderRef ref=""console"" />
</Logger>
<Logger name=""org.mybatis.spring.SqlSessionUtils"" level=""OFF"" additivity=""false"">
<AppenderRef ref=""console"" />
</Logger>
<Logger name=""org.mybatis.spring.transaction.SpringManagedTransaction"" level=""OFF"" additivity=""false"">
<AppenderRef ref=""console"" />
</Logger>
<Logger name=""jdbc.sqltiming"" level=""OFF"" additivity=""false"">
<AppenderRef ref=""console"" />
</Logger>
<Logger name=""jdbc.sqlonly"" level=""INFO"" additivity=""false"">
<AppenderRef ref=""console"" />
</Logger>
<Root level=""DEBUG"">
<AppenderRef ref=""console"" />
</Root>
</Loggers>
</Configuration>
```
1. context-datasource.xml 파일에 dataSource 수정
```xml
<property name=""driverClassName"" value=""net.sf.log4jdbc.sql.jdbcapi.DriverSpy""/>
<property name=""url"" value=""jdbc:log4jdbc:mysql://: ......
```
- 21.04.02 prm-salevis-was Master Branch 적용"
"Backend 개발 가이드-RoleScreen, Screen 테이블의 필요 없는 데이터 정리","delete from rolescreen where roleid not in (select roleid from role);
delete from screen where screenid not in (select screenid from rolescreen);
delete from rolescreen where screenid not in (select screenid from screen where menuid in (select menuid from menu) and mainYn = 'Y');
delete from screen where menuid not in (select menuid from menu) and mainYn = 'Y';"
